		34.47	35.20
24.55	24.72	25.26	26.08
31.17	30.20	27.83	
20.81	20.61	21.19	21.30
			
25.36	25.18	25.98	26.03
28.39	29.20	29.64	29.79
26.3	27.61	27.23	27.20
			
24.43	25.07	25.11	25.53
25.68	25.15	27.52	26.46
16.86	16.61	17.02	16.68
			
18.51	17.81	18.73	18.31
22.9	22.29	24.12	25.14
		36.01	36.14
22.76	21.63	26.58	27.43
22.46	21.45	23.25	22.60
25.27	24.29	26.02	26.07
23.22	22.33	24.09	24.24
28.33	28.22	31.87	30.58
29	29.76	26.88	26.26
23.31	23.46	23.25	23.69
17.06	16.69	18.57	18.57
32.27	33.67	32.66	33.23
17.81	17.71	17.8	16.99
27.44	26.93	28.41	29.19
24.11	24.95	24.63	24.45
24.48	25.13	24.85	25.95
20.51	21.15	21.25	22.23
24.03	25.06	24.46	25.18
29.01	27.71	30.71	30.50
22.88	23.12	23.91	23.26
26.72	27.31	31.98	31.28
28.88	27.97	30.27	31.27
18.22	17.97	20.63	20.64
24.82	24.83	28.15	26.78
18.49	17.88	19.07	19.87
29.4	28.28	28.92	29.62
		36.67	38.41
29.1	28.61	27.78	28.40
22.95	22.76	23.94	23.53
28.95	27.55	29.02	29.25
30.07	30.63	29.74	28.76
27.13	25.90	26.96	26.53
			
34.08	35.54	36.37	35.33
20.41	19.92	21.24	21.29
28.2	28.07	27.03	27.93
20.86	21.75	22.44	22.16
16.51	16.31	17.75	18.53
36.87	36.03	32	33.11
17.94	18.81	18.96	18.44
27.49	27.27	30.28	30.68
27.41	26.37	26.61	27.89
36.6	36.43	33.5	33.35
23.51	22.55	23.97	23.39
24.13	24.36	25.07	24.09
27.85	26.92	28.23	29.20
26.75	26.70	27.22	26.51
22.71	22.74	23.73	23.92
21.05	20.99	22.29	22.27
29.8	29.84	32.11	33.04
32.33	33.39	27.83	29.07
23.27	24.38	24.15	23.56
38.05	39.54	32.55	33.81
36.34	35.82	34.09	33.34
27.73	27.26	32.41	33.29
30.85	31.43	33.77	32.84
21.51	20.72	22.58	22.81
28.95	29.72	34.35	34.95
36.13	36.41		
36.99	36.60		
37.94	38.52	38.93	38.58
30.39	31.43	29.41	29.89
27.81	28.75	28.23	29.15
36.52	37.84	34.73	34.87
		32.4	31.43
31.17	30.65	30.53	29.81
31.15	30.76	30.92	31.32
22.04	22.71	22.38	22.07
32.57	32.75	31.3	32.03
25.33	26.04	25.74	25.73
19.1	19.85	18.81	18.58
35.97	37.08	37.66	37.45
26.41	26.59	26.88	27.13
35.07	34.11	34.45	34.20
35.67	34.94		
27.27	27.59	29.94	28.66
22.97	21.88	23.89	24.28
26.66	26.23	28.72	28.41
32.99	33.88	33.81	34.85
23.1	22.75	24.75	25.08
30.86	31.08	26.55	27.27
22.5	22.51	23.45	22.99
16.73	17.31		
